id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
1118,Araglin,Airglinn,Cork,Republic of Ireland,P61,R927061,192761,106104,52.20716,-8.10662,Fermoy,Cork County Council,Munster,South-West,Town/Village
1119,Aran Island,Árainn Mhór,Donegal,Republic of Ireland,F92,B661169,166131,416984,54.99918,-8.52998,Letterkenny,Donegal County Council,Ulster,Border,Town/Village
1120,Arbatt,Ard Bata,Donegal,Republic of Ireland,F93,C011040,201128,404088,54.88449,-7.98317,Lifford,Donegal County Council,Ulster,Border,Townland
1121,Arbourhill,Baile an tSásaraigh,Tipperary,Republic of Ireland,E41,S176423,217622,142307,52.53226,-7.74105,Thurles,Tipperary County Council,Munster,South-East,Townland
1122,Arbourhill,Cnoc an Earbair,Tipperary,Republic of Ireland,R42,N020062,202010,206271,53.10730,-7.97073,Birr,Tipperary County Council,Munster,Mid-West,Townland
1123,Archdeaconry Glebe,Gléib an Ard-deagánaigh,Meath,Republic of Ireland,A82,N737768,273776,276833,53.73608,-6.88277,Kells,Meath County Council,Leinster,Mid-East,Townland
1124,Archersgrove,Garrán an Áirséaraigh,Kilkenny,Republic of Ireland,R95,S522546,252218,154644,52.64089,-7.22936,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
1125,Archersleas,Baile an Áirséaraigh,Kilkenny,Republic of Ireland,R95,S494540,249426,154025,52.63559,-7.27069,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
1126,Archersrath,Ráth an Áirséaraigh,Kilkenny,Republic of Ireland,R95,S529566,252970,156681,52.65912,-7.21792,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
1127,Archerstown,,Laois,Republic of Ireland,R32,S401738,240162,173858,52.81456,-7.40509,Portlaoise,Laois County Council,Leinster,Midland,Townland
1128,Archerstown,Baile an Áirséaraigh,Meath,Republic of Ireland,A84,O073519,307378,251994,53.50718,-6.38232,Ashbourne,Meath County Council,Leinster,Mid-East,Townland
1129,Archerstown,Baile an Áirséaraigh,Tipperary,Republic of Ireland,E41,S148570,214807,157038,52.66471,-7.78189,Thurles,Tipperary County Council,Munster,Mid-West,Townland
